"devicedb_id","hubelean_id","location_name","location_address","longitude","latitude","TotalNbOfConnectors","ConnectorType"
"10464","UAE-HBN-CCL298","DEIRA-Solar Innovation Center-01","Dubai, United Arab Emirates","55.363","24.757","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10465","UAE-HBN-CCL299","DEIRA-Solar Innovation Center-02","Dubai, United Arab Emirates","55.36205","24.757441","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10466","UAE-HBN-CCL300","DEIRA-Solar Innovation Center-03","Dubai, United Arab Emirates","55.361896","24.757146","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10467","UAE-HBN-CCL322","J.ALI-Millennium place hotel","Barsha Heights, Dubai, United Arab Emirates","55.176","25.092","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10468","UAE-HBN-CCL321","DEIRA-Sport Society","Mirdif, Dubai, United Arab Emirates","55.408","25.222","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10469","UAE-HBN-CCL319","BUR DUBAI-Al Wasl Experience Center","Al Safa-2, Dubai, United Arab Emirates","55.228","25.158","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10470","UAE-HBN-CCL318","HATTA-Dewa Mosque","Hatta, Dubai, United Arab Emirates","56.082","24.84","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10471","UAE-HBN-CCL327","DEIRA-New Police Station, Lehbab (Left side)","Dubai, United Arab Emirates","55.599","25.032","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10472","UAE-HBN-CCL328","DEIRA-New Police Station, Lehbab (Right side)","Dubai, United Arab Emirates","55.599","25.032","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10474","UAE-HBN-CCL325","DEIRA-Dubai Ambulance Office(inside parking)","Warsan3, Dubai, United Arab Emirates","55.471","25.165","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10475","UAE-HBN-CCL326","DEIRA-Dubai Ambulance Office (outside parking)","Warsan3, Dubai, United Arab Emirates","55.471","25.165","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10476","UAE-HBN-CCL323","BUR DUBAI-Avenue Mall (Front side Parking)","Nad Al Sheba 2, Dubai, United Arab Emirates","55.34646","25.144666","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10477","UAE-HBN-CCL324","BUR DUBAI-Avenue Mall (Back side Parking)","Nad Al Sheba 2, Dubai, United Arab Emirates","55.348","25.145","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10478","UAE-HBN-CCL330","DEIRA-Fly Dubai HQ - 01 (Left side)","Warsan 3, Dubai, United Arab Emirates","55.471","25.146","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10479","UAE-HBN-CCL331","DEIRA-Fly Dubai HQ - 02 (Right side)","Warsan 3, Dubai, United Arab Emirates","55.471376","25.145493","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10481","UAE-HBN-CCL333","BUR DUBAI-Wasl Kifaf Development Ph2","DUBAI, United Arab Emirates","55.296","25.232","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10482","UAE-HBN-CCL335","BUR DUBAI-ADNOC Petrol Station,Al Quoz Industrial 3","ADNOC, Dubai, United Arab Emirates","55.2181701","25.1375255","3","62196-2 (Three Phase) , Combined ChaDeMo/ComboCCS , Combined ChaDeMo/C"
"10484","UAE-HBN-CCL334","J.ALI-Enoc service station-1666/521","Madinat Al Mattar, Dubai, United Arab Emirates","55.219","24.936","3","62196-2 (Three Phase) , Combined ChaDeMo/ComboCCS , Combined ChaDeMo/C"
"10485","UAE-HBN-CCL340","RTA Head Quarters,Basement1","Ramool, Dubai, United Arab Emirates","55.357","25.234","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10486","UAE-HBN-CCL343","BUR DUBAI DWTC Sh:Rashid Hall Multistory Parking,Basement","Sh.Zayed Road, Sh.Zayed Road, United Arab Emirates","55.287","25.223","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10487","UAE-HBN-CCL344","BUR DUBAI DWTC Sh:Rashid Hall  Multistory Parking,4th floor","Sh.Zayed Road, Sh.Zayed Road, Dubai, United Arab Emirates","55.287","25.222","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
